seller_id,zip_code_prefix,seller_city,seller_state,order_id,order_item_id,product_id,date,price,freight_value,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state,product_category_name_english,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE,54c5976111a966ff8a2224dd242cd07a,1,216fc7d2fe90eccd658f30cab5bafa83,2018-07-17 21:25:00,39.0,53.89,-9.024839005,-36.57020045,brej?ï¿½o,PE,toys,50,1116,6,550,22,12,17
e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE,62f85456fc470d391e292c649d8f0124,1,487fb870bc96e50a68b9428f30649c72,2018-01-05 08:27:00,39.0,34.57,-9.024839005,-36.57020045,brej?ï¿½o,PE,toys,53,233,2,500,16,9,12
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP,3f4d752085db597cc5c802381e0a2488,1,306e6b5dda3397e4a9312f94d82565b5,2017-12-20 02:12:00,39.0,34.2,-21.44212438,-50.07351409,penapolis,SP,toys,54,1213,9,8450,30,26,12
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP,655d3e557522f80b4384eebaaaae9cda,1,306e6b5dda3397e4a9312f94d82565b5,2018-05-09 11:14:00,39.0,22.58,-21.44212438,-50.07351409,penapolis,SP,toys,54,1213,9,8450,30,26,12
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP,c31a859e34e3adac22f376954e19b39d,1,306e6b5dda3397e4a9312f94d82565b5,2018-08-09 23:25:00,39.0,59.06,-21.44212438,-50.07351409,penapolis,SP,toys,54,1213,9,8450,30,26,12
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP,ec082d3ffd103096f9274b6247217ff9,1,306e6b5dda3397e4a9312f94d82565b5,2018-08-20 03:24:00,39.0,2.36,-21.44212438,-50.07351409,penapolis,SP,toys,54,1213,9,8450,30,26,12
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,0fe8aad910ff05e73b0ddb0a89e61b21,1,0496f30fa502d5454825087842d7a497,2018-07-09 05:31:00,39.0,18.37,-23.56935316,-46.63690014,sao paulo,SP,toys,31,182,1,250,16,19,19
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,1bc003426b11b20491aa5b7810c9cbf2,1,1be077a2d74abc6941e3fe47906df83c,2018-08-24 00:25:00,39.0,15.27,-23.56935316,-46.63690014,sao paulo,SP,toys,34,158,2,150,16,18,18
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,1be202b145a6722b8e2b08f60b288994,1,253d579d3a543d50016d25936dc1be2e,2018-08-27 20:55:00,39.0,18.36,-23.56935316,-46.63690014,sao paulo,SP,toys,53,286,2,300,16,20,20
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,386566ace975071b7888fe4ef940d582,1,442d90d66ceaa3f50027f7430c672820,2018-07-19 21:50:00,39.0,16.68,-23.56935316,-46.63690014,sao paulo,SP,toys,57,294,2,525,21,23,20
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,3a6a52cd14ff4ed808a62999c78f2226,1,0496f30fa502d5454825087842d7a497,2018-08-06 18:35:00,39.0,7.53,-23.56935316,-46.63690014,sao paulo,SP,toys,31,182,1,250,16,19,19
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,be604de4ce5e2e8658c03895db0621a9,1,253d579d3a543d50016d25936dc1be2e,2018-08-22 14:55:00,39.0,7.52,-23.56935316,-46.63690014,sao paulo,SP,toys,53,286,2,300,16,20,20
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,beb82936199adb4cf410d9dc9554e674,1,0496f30fa502d5454825087842d7a497,2018-08-09 04:45:00,39.0,7.53,-23.56935316,-46.63690014,sao paulo,SP,toys,31,182,1,250,16,19,19
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,cb38a96792763020d1c6a3f5e3073026,1,80aed7c1df22a03593fdd335531bdc72,2018-08-07 04:15:00,39.0,7.52,-23.56935316,-46.63690014,sao paulo,SP,toys,41,164,2,400,16,25,25
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,e9b5a2375e8f252aaba047d5d20e4f84,1,5cab8d5ca731b3de4c23b8b13b04e594,2018-07-25 10:32:00,39.0,7.58,-23.56935316,-46.63690014,sao paulo,SP,toys,32,122,2,250,16,15,15
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,f0f7dc2419ca55c30f76a386584b9980,1,d9dcf0fed59f10026c2cf95b8df01e08,2018-08-24 16:55:00,39.0,12.92,-23.56935316,-46.63690014,sao paulo,SP,toys,53,284,3,300,16,20,20
8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,SP,2d9ea2efa410b1efd6bbd47d126819b6,1,9df634af5c467f3b07f3d92f7765aa64,2018-02-23 01:47:00,39.0,16.82,-23.54715958,-46.64989461,s?ï¿½o paulo,SP,toys,45,965,2,850,16,32,16
8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,SP,4258b5bedf2331953c0b974849dd7b24,1,9df634af5c467f3b07f3d92f7765aa64,2017-10-24 03:07:00,39.0,16.82,-23.54715958,-46.64989461,s?ï¿½o paulo,SP,toys,45,965,2,850,16,32,16
8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,SP,4fddd233c42ca366f24daa034b3adacf,1,9df634af5c467f3b07f3d92f7765aa64,2017-10-10 12:04:00,39.0,11.78,-23.54715958,-46.64989461,s?ï¿½o paulo,SP,toys,45,965,2,850,16,32,16
8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,SP,5e4ef21263c26f393f06c68bb2ac73c0,1,9df634af5c467f3b07f3d92f7765aa64,2017-10-25 03:14:00,39.0,11.78,-23.54715958,-46.64989461,s?ï¿½o paulo,SP,toys,45,965,2,850,16,32,16
